30.4	30	19.8	16.6
26.1	30	22.1	12.8
28.7	29.4	16	7.2
30.1	29	6.5	2.1
19.6	26.8	-3.1	-7
11.1	24.9	-10.5	-13.8
2.4	23.1	-16.6	-20.9
-4.4	20.8	-25	-27.8
-10.2	17.6	-26.4	-23.9
-15.7	16	-13	-7.4
-18	17.7	4.7	15.7
4	22.5	15.2	43.1
31.5	28.7	39.4	61.7
55.6	36.1	92.2	79.6
73	39.8	108.2	94.6
64.5	44.7	123.8	105.8
77.1	46.9	120.8	116.1
74.9	47.7	136.6	129.5
92.9	47.5	179.6	140
107.8	43.6	180.9	131.3
87.6	46.5	120.6	98.4
97.5	48.8	58.6	82.5
93.7	45.9	41.8	29.5
79.1	41.7	38.8	29.3
65.1	40	41.2	26.6
62.1	38.1	35.9	26
52.9	36.2	30.2	22.8
48.4	34.5	27.4	14.3
42.1	33	22.4	10.6
37.6	30.8	15.4	8.6
31.4	28.8	16.9	9.4
27.5	28	19.1	12.9
29.4	28	24.6	18.6
34.1	29	32.7	28.4
46.7	32.5	40.7	40.3
58.8	36	50.2	41.7
68.6	40.5	58.3	48.3
75.4	44.1	60.6	42.3
77.7	45.3	54.9	43.5
70.2	43.4	46.6	40.6
60.4	40.8	43.1	39.9
56	39	48.1	38.2
55.8	40.3	46.9	37.3
61.2	39.3	43.9	34.6
57.8	38.7	38.1	28.8
52.6	36.5	30.6	21.1
46.4	33.2	23	14.2
39.1	30.5	16.4	11.1
31.9	28.1	15.6	9.7
25.8	26.3	18.5	14.3
25.5	26	21.3	16.7
27.9	26	22.8	18.9
34.4	26.8	25.6	18.8
36	28	26.6	17
36.3	28	24.9	17.3
34.8	27.4	22.6	16.9
32	26.9	22	17.5
30	26	22.5	16.5
31	26	24.3	18.7
35.1	26.3	28	21.4
41.9	28.1	32.7	25.2
49.8	29.2	36.8	25.4
53	30.5	39	29.5
54	31.7	38.9	28.4
53.7	34	38	27.6
55	37	39.8	29.9
57.2	42.7	39.3	30.1
58.8	45.3	38.1	24.8
54.8	47	35.1	26.9
